Component,Phase,Current (mA),Duration (sec),Energy (mAs),Cycle Duration (sec)
ESP32-S3 (Active/WiFi),Active,120.00,8.00,960.00,30.00
IMU Sensor,Active,3.50,3.00,10.50,30.00
GPS Sensor,Active,30.00,3.00,90.00,30.00
Status LED (GPIO 48),Active,7.50,8.00,60.00,30.00
Battery LED (GPIO 38),Active,7.50,8.00,60.00,30.00
WiFi TX LED (GPIO 40),Active,2.50,2.00,5.00,30.00
ESP32-S3 (Deep Sleep),Deep Sleep,0.01,22.00,0.22,30.00
IMU Sensor (Sleep),Deep Sleep,0.005,22.00,0.11,30.00
GPS Sensor (Sleep),Deep Sleep,0.05,22.00,1.10,30.00
Status LED (Off in sleep),Deep Sleep,0.00,22.00,0.00,30.00
Battery LED (Off in sleep),Deep Sleep,0.00,22.00,0.00,30.00
TOTAL PER CYCLE,-,39.56,30.00,1186.93,30.00

